THEME,NOM,ID,,
ABSTRAIT,L'Exil1 (collage+encre+carborundum 50x65) TM151 2015,151,,
ABSTRAIT,Abstrait1 (collage+encre+carborundum 30x30) TM38 2013,38,,
ABSTRAIT,Abstrait2 (collage+encre+carborundum 30x30) TM39 2013,39,,
ABSTRAIT,Abstrait3 (collage+encre+carborundum 50x50) TM40 2013,40,,
ABSTRAIT,Abstrait4 (collage+encre+carborundum 50x50) TM41 2013,41,,
ABSTRAIT,Abstrait9 (collage+encre+tissu+carborundum 50x65) TM46 2013,46,,
ABSTRAIT,Abstrait13 (collage+encre+carborundum 50x65) TM50 2013,50,,
ABSTRAIT,Abstrait14 (collage+encre+carborundum 50x65) TM51 2013,51,,
ABSTRAIT,Abstrait16 (collage+encre+carborundum 50x70) TM53 2013,53,,
ABSTRAIT,Abstrait17 (collage+encre+carborundum 50x65) TM54 2013,54,,
ABSTRAIT,Abstrait19 (collage+encre+carborundum 50x65) TM56 2013,56,,
ABSTRAIT,Les Ruines (photocopie+craie 30x30) TM154 2015,154,,
ABSTRAIT,Les Ruines (encre+fusain 60x60) TM131 2015,131,,
ABSTRAIT,L'Exil (photocopie+craie 30x30) TM155 2015,155,,
ABSTRAIT,L'Exil 1 ( photogravure 20x20) PG5 2015,PG5,,
ABSTRAIT,L'Exil 2 (encre + fusain 60x60) TM112 2015 ,112,,
ABSTRAIT,Exilés I (collage+encre+carborundum 49x49) TM134 2015,134,,
ABSTRAIT,Exilés II (collage+encre+carborundum 49x49) TM135 2015,135,,
ABSTRAIT,Exilés III (collage+encre+carborundum 49x49) TM136 2015,136,,
ABSTRAIT,Exilés VI (collage+encre+carborundum 49x49) TM139 2015,139,,
ABSTRAIT,Réfugiés I (collage+encre+carborundum 49x49) TM144 2015,144,,
ABSTRAIT,Ombres I (collage+encre+carborundum 49x49) TM141 2015,141,,
ABSTRAIT,L'Exil2 (collage+encre+carborundum 50x65) TM152 2015,152,,
ABSTRAIT,Regard sur l'Exil (collage+encre+carborundum 49x49) TM153 2015,153,,
ABSTRAIT,Naufrage IV (collage+encre+carborundum 45x45) TM164 2016,164,,
ABSTRAIT,Naufrage V (collage+encre+carborundum 45x45) TM165 2016,165,,
ABSTRAIT,Naufrage VII (collage+encre+carborundum 30x30) TM167 2016,167,,
ABSTRAIT,Naufrage I (collage+encre+carborundum 43x43) TM161 2016,161,,
ABSTRAIT,Les Barbelés II (collage+encre+carborundum 49x49) TM170 2016,170,,
ABSTRAIT,Les Barbelés VI (collage+encre+carborundum 49x60) TM174 2016,174,,
ABSTRAIT,Femme liée (collage+encre+carborundum 50x70) TM177 2016,177,,
ABSTRAIT,Le fardeau (encre + fusain 60x60) TM115 2015,115,,
ABSTRAIT,Le fardeau (photogravure 20x20) PG6 2015,PG6,,
,,,,
,,,,
LACS,Le Lac de Joux (acryl 40x50) A1 2012,A1,,
LACS,La Savoie (encre+huile 70x90) TM8 2012,8,,
LACS,Le Grammont (encre+huile 70x90) TM9 2012,9,,
LACS,Pluie sur le Haut Lac (aquarelle 27x37) A392 2012,A392,,
LACS,La Savoie (aquarelle 50x70) A395 2012,A395,,
LACS,Le lac  (encre+huile 51x73) TM28 2013,28,,
LACS,Vagues sur le Léman (aquarelle 27x37) A402 2013 ,A402,,
LACS,Abstrait sur le lac (collage 50x70) TM63 2013 ,63,,
LACS,La Savoie (aquarelle 50x70) A396 2012,A396,,
LACS,La 1ère vague (encre+fusain 50x70) TM30 2013,30,,
LACS,La 2ème vague (encre+pastel+fusain 50x70) TM31 2013,31,,
LACS,La 3ème vague (encre+huile+pastel 62x62) TM32 2013,32,,
LACS,La 4ème vague (encre+huile+pastel+fusain 88x88) TM33 2013,33,,
LACS,La 5ème vague (encre+gouache 63x48) TM36 2013,36,,
LACS,La 6ème vague (encre+huile 50x70) TM37 2013,37,,
LACS,Haut-Lac (aqua+encre 50x70) TM96 2014,96,,
LACS,Abstrait Lac (pigments+huile 50x70) TM90 2014,90,,
LACS,La Galère (aquarelle 27x37) A425 2014,A425,,
LACS,Mont-Lac (collage+encre+huile 50x70) TM95 2014,95,,
LACS,Le Grammont 1 (encre+huile 50x70) TM88 2014,88,,
LACS,Le Haut-Lac (aqua+encre 50x70) TM96b 2014,96,,
LACS,Paysage Abstrait (pigments+huile 63x63) TM90 2014,90,,
LACS,Orage sur le lac (encre+pigments 50x70) TM92 2014,92,,
LACS,L'île de Peilz (aquarelle 33x42) A455 2015,A455,,
LACS,Le Lac (aquarelle+collage 33x42) A455b 2015,A455b,,
LACS,Paysage (aquarelle 29x46 ) A462 2015,A462,,
LACS,Copie Auguste Veillon (aquarelle 30x44 ) A464 2015,A464,,
LACS,Lac (encre+huile 60x80) TM129 2015,129,,
LACS,Paysage (aquarelle 21x31) A470 2016,A470,,
LACS,Les Dents du Midi depuis Vevey selon Sarto (aquarelle 25x34) A493 2016,A493,,
LACS,Oiseaux du lac (encre+fusain 50x70) TM197 2016,197,,
LACS,Lac (aquarelle 21x30) A521 2017,A521,,
LACS,Lac (encre 35x50) TM250 2018 ,250,,
LACS,Lac (encre 40x40 TM253 2018,253,,
LACS,Lac (aqua+pastel 34x44) TM275 2018,275,,
LACS,Abstrait ô-Lac (encre+crayon aqua 50x70) TM285 2018,285,,
LACS,Abstrait ô-Lac (encre+pastel+fusain 60x80) TM291 2018,291,,
LACS,Abstrait ô-Lac (encre+pastel+fusain 60x90) TM293 2018,293,,
LACS,St Saphorin (aquarelle 24x34) A536 2019,536,,
,,,,
,,,,
MONTAGNES,Les sapins (gravure-eau forte 15x22) G8 2012,G8,,
MONTAGNES,Chalet les Noisetiers (aquarelle 10x15) CP 2012,CP,,
MONTAGNES,Les Dents du Midi (Monotype 15x20) G2 2012,G2,,
MONTAGNES,Les Dents du Midi (Encre+acryl+collage 70X90) A2 2012,A2,,
MONTAGNES,Le couloir de la Dent Jaune (huile 30x80) H9 2012,H9,,
MONTAGNES,Les Doigts (encre+huile 50x70) TM7 2012,7,,
MONTAGNES,Les Dents du Midi (Encre 70X90) E2 2012,E2,,
MONTAGNES,Les Dents du Midi (Fusain 34x34) F1 2012,F1,,
MONTAGNES,La Dent de Bonavau (Fusain 38x48) F3 2012,F3,,
MONTAGNES,Les Dents blanches (Fusain 34x44) F2 2012,F2,,
MONTAGNES,Les Dents du Midi (Monotype 50x70 ) TM10 2012,10,,
MONTAGNES,Les Dents du Midi (collage+pastel 50x70 ) TM13 2012,13,,
MONTAGNES,Les Dents du Midi (collage+pastel 50x70 ) TM14 2012,14,,
MONTAGNES,Les Dents du Midi (triptique collage+pastel 3x30x90 ) TM11 2012  ,11,,
MONTAGNES,La Forane sur Cou (aquarellle 27x37) A381 2012,A381,,
MONTAGNES,Dans le village de Champéry (aquarellle 27x37) A382 2012,A382,,
MONTAGNES,Chalet du Pont (aquarelle 27x37) A388 2012,A388,,
MONTAGNES,La Haute Cime (aquarelle 50x70) A389 2012,A389,,
MONTAGNES,Chalets sous la neige (aquarelle 27x37) A385 2012,A385,,
MONTAGNES,La Haute Cime (huile 50x50) H8 2012,H8,,
MONTAGNES,Les Dents du Midi (aquarelle 24x34) A406a 2013,A406a,,
MONTAGNES,Le Glacier d'Aletsch (collage+pastel+fusain 50x70) TM25 2013 ,25,,
MONTAGNES,La Cime de l'Est (collage+huile 50x70) TM66 2013 ,66,,
MONTAGNES,Les Dents du Midi (collage+huile 80x120) TM65 2013,65,,
MONTAGNES,Le petit Muveran (fusain 50x60) F4 2013,F4,,
MONTAGNES,Les Dents du Midi (aquarelle 27x37) A416 2014,A416,,
MONTAGNES,Les Dents du Midi (esquisse 23x30) A423 2014,A423,,
